origtime,latitude,longitude,depth,magnitude,rms,relocated,startRms,locChange,depthChange,timeChange,numNeighbours,neigh_meanDistToCentroid,neigh_centroidToEventDist,neigh_meanDepthDistToCentroid,neigh_centroidToEventDepthDist,ph_usedP,ph_usedS,ph_stationDistMin,ph_stationDistMedian,ph_stationDistMax,ddObs_numTTp,ddObs_numTTs,ddObs_numCCp,ddObs_numCCs,ddObs_startResidualMedian,ddObs_startResidualMAD,ddObs_finalResidualMedian,ddObs_finalResidualMAD
2021-01-23T10:02:33.408156Z,64.060135,-21.226511,2.8550,0.28,0.268,true,0.391,0.061,-0.083,0.002,55,0.936,0.346,0.656,0.202,12,5,3.529,5.945,8.937,250,32,191,86,0.0171,0.0130,-0.0000,0.0019
2021-01-23T02:15:19.210359Z,64.109203,-21.340185,5.0428,0.68,0.084,true,0.348,0.614,-0.045,-0.231,60,0.510,0.074,0.256,0.141,17,2,5.750,8.817,12.471,187,51,560,4,-0.0333,0.0157,0.0008,0.0010
2021-01-23T02:06:14.292898Z,64.049358,-21.249035,3.5759,-0.12,0.200,true,0.167,0.303,0.233,-0.048,54,0.319,0.056,0.157,-0.041,5,5,4.238,5.110,8.639,99,67,151,105,-0.0006,0.0094,-0.0001,0.0005
2021-01-23T00:11:56.809628Z,63.945480,-21.329762,4.3796,0.82,0.423,true,0.431,0.210,-0.385,0.063,63,0.775,0.073,0.442,0.117,26,13,4.631,13.722,27.243,290,98,539,173,0.0002,0.0114,0.0004,0.0015
2021-01-22T12:31:47.768396Z,64.107504,-21.233731,2.2069,0.24,0.299,true,0.293,0.209,0.204,-0.010,57,1.287,0.342,0.677,-0.194,12,5,2.520,5.214,8.402,373,84,134,12,-0.0051,0.0152,-0.0015,0.0042
2021-01-22T12:26:22.630452Z,64.006516,-21.346396,1.9231,0.16,0.270,true,0.451,0.294,0.096,-0.006,71,0.240,0.024,0.121,0.005,10,4,2.392,4.451,8.974,403,50,174,53,-0.0007,0.0106,0.0006,0.0026
2021-01-22T12:16:12.738016Z,64.059934,-21.397959,2.0299,1.09,0.109,true,0.106,0.057,0.059,0.010,55,0.192,0.045,0.055,-0.002,19,4,2.544,6.208,9.918,262,17,375,57,0.0015,0.0033,-0.0002,0.0013
2021-01-22T10:36:00.337209Z,64.107235,-21.256954,5.4513,0.81,0.092,true,0.088,0.142,-0.045,0.018,72,0.354,0.077,0.185,-0.011,17,4,5.774,8.048,12.145,295,57,570,89,0.0003,0.0040,0.0003,0.0006
2021-01-22T09:24:57.460755Z,64.059896,-21.398139,1.9932,0.63,0.339,true,0.333,0.125,-0.007,0.011,59,0.151,0.029,0.043,0.000,20,10,2.509,6.140,14.334,270,39,401,110,-0.0014,0.0089,0.0002,0.0018
2021-01-22T09:21:12.573952Z,64.059813,-21.398349,2.0211,0.85,0.103,true,0.101,0.104,0.040,0.003,55,0.228,0.062,0.079,0.015,17,2,2.531,6.105,10.289,222,10,369,41,0.0021,0.0054,-0.0003,0.0012
2021-01-21T23:53:40.933984Z,64.107166,-21.257523,5.4641,0.78,0.114,true,0.117,0.168,-0.096,0.022,77,0.349,0.066,0.177,0.002,20,5,5.783,8.894,14.215,260,37,711,162,0.0037,0.0038,-0.0002,0.0012
2021-01-21T16:53:56.091603Z,64.059715,-21.398882,2.0111,0.11,0.172,true,0.310,0.183,0.011,-0.006,65,0.097,0.014,0.039,-0.010,9,4,2.519,4.601,7.393,206,28,287,60,-0.0026,0.0189,-0.0004,0.0014
2021-01-21T15:38:02.589723Z,64.051787,-21.390523,2.6731,0.22,0.362,true,0.357,0.102,-0.043,-0.009,52,0.265,0.104,0.123,-0.021,11,4,3.017,4.862,8.073,226,10,159,80,0.0011,0.0154,0.0001,0.0008
2021-01-21T06:12:34.166229Z,64.024300,-21.200636,4.1624,0.11,0.339,true,0.354,0.221,-0.409,0.056,74,1.282,0.314,0.970,-0.087,17,7,5.673,9.135,16.939,445,133,377,67,-0.0891,0.0208,0.0008,0.0029
2021-01-20T19:05:07.174076Z,64.051273,-21.392556,3.2694,-0.12,0.183,true,0.146,0.223,0.563,-0.017,56,0.260,0.099,0.124,-0.021,10,5,4.540,5.796,7.720,240,31,127,80,0.0033,0.0102,0.0005,0.0007
2021-01-20T11:17:30.036844Z,64.050686,-21.389652,1.7758,0.38,0.167,true,0.421,0.145,-0.073,-0.000,65,0.192,0.024,0.132,0.000,10,7,3.330,4.574,7.019,238,35,187,111,-0.0046,0.0118,0.0013,0.0023
2021-01-20T10:41:29.922277Z,64.049827,-21.393910,2.5997,0.68,0.157,true,0.134,0.093,0.350,0.007,56,0.164,0.041,0.086,0.001,23,10,4.014,6.404,12.659,222,32,416,158,0.0034,0.0071,-0.0006,0.0013
2021-01-20T10:41:18.453957Z,64.049987,-21.393764,2.5961,0.19,0.166,true,0.143,0.065,0.386,0.013,59,0.152,0.026,0.084,-0.002,15,10,4.011,5.474,14.603,255,29,332,165,-0.0006,0.0084,0.0004,0.0012
2021-01-19T17:30:24.14294Z,64.051814,-21.389553,2.7645,0.42,0.103,true,0.098,0.024,0.127,0.003,55,0.231,0.054,0.115,-0.001,15,3,3.113,5.345,8.244,255,10,188,61,-0.0027,0.0153,-0.0004,0.0019
2021-01-19T11:30:40.480497Z,64.050983,-21.364236,1.8956,0.08,0.288,true,0.331,0.292,-0.854,0.071,53,0.492,0.091,0.380,0.425,9,2,2.737,3.757,5.921,213,10,139,44,-0.0147,0.0292,-0.0009,0.0017
2021-01-19T11:29:26.39693Z,64.050804,-21.363810,1.9508,0.40,0.140,true,0.199,0.042,-0.045,-0.000,77,0.183,0.025,0.145,-0.032,13,6,2.794,4.344,8.057,367,15,304,143,0.0050,0.0060,-0.0011,0.0020
2021-01-19T06:04:47.180219Z,64.013541,-21.407247,1.5983,0.28,0.418,true,0.506,1.095,0.308,-0.058,59,0.797,0.246,0.271,-0.210,8,1,1.972,4.005,8.092,271,6,90,1,-0.1809,0.0674,0.0004,0.0032
